trial,win_stride,padding,scale,hit_threshold,score_threshold,nms_threshold,use_preprocessing,shrink_factor,grabcut_iters,det_score,hole_score,continuity,texture,hole_ratio,boundary_mae,det_metrics,continuity_score,texture_score,num_boxes,f1,precision,recall,mean_iou_matched,preset,total_score
1,4x4,32x32,1.05,0.2,0.30000000000000004,0.25,False,0.1,10,0.9148,0.0,0.3203,0.9145,0.2786,31.8755,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.8105752493192736}",0.3203,0.9145,2,1.0,1.0,1.0,0.8105752493192736,smart_tune,0.0
3,4x4,32x32,1.04,0.5,0.1,0.45,True,0.24,10,0.8487,0.0,0.2693,1.0,0.2333,36.7346,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.6637065675203808}",0.2693,1.0,2,1.0,1.0,1.0,0.6637065675203808,smart_tune,0.0
4,4x4,16x16,1.03,0.0,0.1,0.35000000000000003,False,0.08,5,0.7384,0.0,0.2096,1.0,0.231,43.7522,"{'tp': 2, 'fp': 1, 'fn': 0, 'precision': 0.6666666666666666, 'recall': 1.0, 'f1': 0.8, 'mean_iou_matched': 0.6631797568908236}",0.2096,1.0,3,0.8,0.6666666666666666,1.0,0.6631797568908236,smart_tune,0.0
5,4x4,32x32,1.08,0.1,0.0,0.6000000000000001,False,0.2,3,0.8596,0.0,0.2531,1.0,0.236,38.4674,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.6880966700512053}",0.2531,1.0,2,1.0,1.0,1.0,0.6880966700512053,smart_tune,0.0
6,4x4,8x8,1.02,0.2,0.1,0.55,False,0.12,4,0.0,0.8967,0.6339,0.7891,0.0207,12.7627,"{'tp': 0, 'fp': 2, 'fn': 2, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'mean_iou_matched': 0.0}",0.6339,0.7891,2,0.0,0.0,0.0,0.0,smart_tune,0.0
9,8x8,32x32,1.04,0.0,0.1,0.4,False,0.0,8,0.9805,0.0,0.9468,0.5638,0.4708,1.5313,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.9567079773409993}",0.9468,0.5638,2,1.0,1.0,1.0,0.9567079773409993,smart_tune,0.0
10,4x4,32x32,1.04,0.4,0.4,0.35000000000000003,True,0.06,7,0.9812,0.0,0.4422,0.9529,0.4061,22.8463,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.9583274728277792}",0.4422,0.9529,2,1.0,1.0,1.0,0.9583274728277792,smart_tune,0.0
14,4x4,32x32,1.06,0.4,0.1,0.2,False,0.16,6,0.8735,0.0,0.2365,1.0,0.236,40.372,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.7188913739533835}",0.2365,1.0,2,1.0,1.0,1.0,0.7188913739533835,smart_tune,0.0
18,4x4,8x8,1.08,0.6000000000000001,0.4,0.55,False,0.04,12,0.975,0.0,0.9204,0.7979,0.48,2.3236,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.9445190959543407}",0.9204,0.7979,2,1.0,1.0,1.0,0.9445190959543407,smart_tune,0.0
20,4x4,8x8,1.09,0.6000000000000001,0.2,0.6000000000000001,False,0.0,12,0.9562,0.0,0.9724,0.5688,0.4978,0.7848,"{'tp': 2, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'mean_iou_matched': 0.9026046344932406}",0.9724,0.5688,2,1.0,1.0,1.0,0.9026046344932406,smart_tune,0.0
